skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
51.2,46.4,10.0,4.0,3.3,2.4,0.1,64.9,31.8,47.3,0.0
78.2,84.9,2.0,2.0,7.0,7.4,8.0,79.0,86.0,84.5,3.0
53.8,39.9,7.0,5.0,4.3,4.9,2.6,67.6,45.7,59.0,0.0
88.1,85.2,2.0,1.0,8.3,8.5,8.8,92.7,98.3,87.9,3.0
36.2,24.0,10.0,4.0,4.0,1.5,3.0,42.6,56.9,45.9,0.0
64.1,64.9,3.0,2.0,5.0,4.9,5.3,69.1,63.3,61.1,1.0
92.7,90.6,0.0,0.0,8.2,7.6,9.5,99.8,96.9,99.3,3.0
58.2,64.7,6.0,3.0,4.2,6.6,3.5,80.6,55.2,64.5,0.0
87.6,81.3,4.0,1.0,7.6,7.3,8.0,80.3,78.9,87.3,3.0
69.4,60.1,5.0,3.0,5.1,6.2,4.9,64.2,59.5,58.2,0.0
43.9,20.4,6.0,3.0,3.6,1.2,0.9,43.9,39.3,55.8,0.0
53.4,32.8,6.0,5.0,3.2,2.5,0.7,40.9,39.1,54.7,0.0
40.7,42.8,9.0,4.0,1.3,4.9,3.1,63.5,37.9,35.8,0.0
60.7,55.2,6.0,3.0,6.6,6.0,6.3,81.6,65.9,67.9,0.0
51.3,25.1,9.0,4.0,1.1,2.0,1.2,41.2,54.5,40.2,0.0
86.3,82.6,3.0,2.0,7.9,6.3,6.9,79.7,74.4,77.8,2.0
50.0,49.4,10.0,4.0,2.3,0.2,0.8,67.4,48.1,50.2,0.0
82.4,71.3,2.0,1.0,7.3,5.2,8.3,75.0,71.5,76.6,2.0
57.3,68.8,3.0,3.0,5.7,6.7,4.2,74.7,50.8,52.3,1.0
53.7,65.6,5.0,2.0,6.3,6.7,4.1,76.9,58.6,54.6,1.0
84.5,83.7,3.0,1.0,7.5,7.5,6.1,81.9,82.9,84.8,3.0
48.0,48.3,6.0,4.0,2.0,0.9,2.2,45.3,54.1,46.5,0.0
34.0,49.3,10.0,3.0,3.3,2.0,2.5,51.7,58.0,31.4,0.0
54.5,48.5,9.0,3.0,2.3,1.7,0.2,40.5,40.1,38.6,0.0
80.0,76.1,4.0,2.0,7.9,6.5,6.1,90.6,81.6,73.0,2.0
55.2,50.2,5.0,2.0,5.1,4.2,5.3,79.7,58.4,70.0,0.0
91.8,99.2,0.0,0.0,9.4,8.1,9.6,98.4,91.7,90.7,3.0
68.9,58.0,3.0,2.0,6.4,4.5,5.2,72.4,65.6,63.7,1.0
74.5,70.7,1.0,2.0,7.0,7.3,7.3,88.9,86.2,72.4,2.0
81.3,72.3,2.0,1.0,7.5,5.3,6.2,85.5,83.5,76.1,2.0
66.4,66.7,6.0,3.0,4.3,5.6,5.4,76.1,61.5,54.2,0.0
59.0,68.6,6.0,2.0,6.6,5.8,5.5,79.8,55.8,56.2,1.0
42.4,23.9,10.0,3.0,2.8,5.0,3.7,47.4,37.1,32.2,0.0
45.1,29.1,8.0,3.0,4.8,0.1,3.9,60.2,54.9,57.9,0.0
85.7,98.6,1.0,0.0,9.9,7.0,8.4,90.7,98.7,91.1,3.0
37.8,49.7,6.0,5.0,3.4,2.0,0.5,43.9,51.9,54.3,0.0
99.4,98.6,2.0,1.0,8.2,8.7,8.0,94.1,89.2,85.4,3.0
56.2,58.7,4.0,2.0,5.2,3.4,5.2,75.6,58.0,56.1,0.0
84.6,81.9,2.0,1.0,6.7,7.8,6.9,86.6,81.4,79.1,3.0
85.6,99.2,0.0,0.0,8.0,8.1,8.8,93.4,94.3,93.2,3.0
73.8,70.1,2.0,1.0,7.1,5.9,8.0,76.9,75.1,82.9,2.0
99.7,88.3,1.0,0.0,9.7,7.9,8.9,98.8,95.4,93.3,3.0
60.2,56.1,4.0,3.0,6.6,3.1,4.9,61.1,70.8,50.1,0.0
85.9,98.1,1.0,0.0,8.7,9.6,9.8,93.9,98.0,85.0,3.0
89.8,98.1,0.0,1.0,8.8,8.4,9.4,100.0,92.4,85.8,3.0
86.9,99.7,0.0,0.0,9.4,7.2,9.5,94.9,88.4,90.6,3.0
60.7,55.8,3.0,2.0,6.4,6.9,5.1,73.8,51.4,68.8,1.0
51.9,63.0,5.0,3.0,6.7,6.4,3.3,80.0,54.4,55.2,0.0
94.6,90.5,0.0,0.0,9.6,9.1,9.7,92.9,89.2,91.7,3.0
56.7,50.2,5.0,2.0,4.6,4.7,4.8,74.9,69.9,65.7,0.0
31.1,53.7,8.0,4.0,2.0,3.2,0.5,43.9,47.6,54.7,0.0
79.9,72.3,3.0,2.0,6.8,5.3,6.1,76.8,75.3,82.5,2.0
30.5,47.6,7.0,3.0,4.4,4.6,1.5,42.3,36.4,54.2,0.0
79.0,77.9,1.0,2.0,6.9,8.4,6.2,80.1,83.8,70.6,2.0
76.8,74.4,3.0,2.0,6.7,5.5,7.1,77.7,71.8,73.8,2.0
83.7,72.3,1.0,1.0,7.6,8.1,6.6,84.0,81.8,83.2,3.0
85.5,79.7,1.0,2.0,6.5,5.4,8.2,78.4,79.4,86.4,2.0
69.7,57.7,5.0,3.0,6.9,6.1,4.8,64.9,66.7,64.5,1.0
96.1,94.8,1.0,0.0,9.1,8.6,9.3,88.2,89.0,98.0,3.0
51.4,63.9,4.0,2.0,6.3,5.6,4.7,74.5,50.9,52.8,1.0
86.2,75.3,1.0,2.0,7.3,6.8,6.5,88.9,73.5,81.6,2.0
83.6,70.7,2.0,2.0,7.8,8.4,7.2,76.7,84.8,71.1,2.0
80.7,72.9,3.0,1.0,6.8,6.8,7.2,78.7,78.7,76.6,2.0
56.2,58.2,6.0,3.0,4.3,5.3,4.9,76.9,56.4,59.1,0.0
42.5,44.8,7.0,5.0,4.5,2.8,2.1,43.0,52.6,56.4,0.0
86.5,79.1,3.0,1.0,6.9,7.0,7.0,90.3,76.3,70.1,2.0
67.5,50.7,3.0,2.0,4.3,4.8,3.8,70.7,64.8,51.2,0.0
51.2,68.9,4.0,3.0,5.4,4.4,4.0,79.1,66.7,60.5,0.0
87.0,91.6,0.0,1.0,9.7,7.0,9.7,98.9,97.4,98.5,3.0
93.8,89.2,0.0,0.0,9.9,7.4,8.2,99.0,98.7,86.7,3.0
56.1,61.0,6.0,3.0,4.8,5.8,3.7,61.7,59.7,68.2,0.0
80.2,75.4,2.0,1.0,8.3,8.0,6.0,76.6,77.8,87.1,3.0
61.4,58.7,5.0,2.0,6.9,6.3,6.5,76.4,54.2,58.6,1.0
52.4,60.4,6.0,2.0,6.3,5.3,6.3,62.4,63.5,63.2,0.0
87.2,88.3,2.0,0.0,9.3,9.4,8.3,97.8,94.4,94.2,3.0
83.6,75.3,2.0,1.0,7.8,6.9,7.6,79.7,80.0,71.3,3.0
96.9,94.6,0.0,1.0,9.3,9.3,9.1,94.1,92.9,89.5,3.0
81.4,83.8,1.0,1.0,7.6,5.5,7.0,75.3,74.0,87.2,3.0
75.3,76.5,2.0,2.0,7.5,5.9,8.3,90.8,81.5,74.3,2.0
58.9,61.9,5.0,2.0,4.8,4.9,4.7,76.5,60.0,70.6,0.0
85.9,97.1,1.0,1.0,8.2,8.2,9.0,91.4,97.9,97.9,3.0
75.2,76.1,4.0,2.0,7.8,6.1,6.8,91.4,72.8,78.9,2.0
51.6,53.4,4.0,2.0,5.2,3.9,5.1,70.7,65.9,61.2,0.0
39.1,48.1,6.0,5.0,3.0,1.6,3.3,50.2,45.3,41.1,0.0
88.0,73.7,4.0,2.0,7.8,7.4,7.6,77.9,76.5,81.6,2.0
42.8,51.6,9.0,5.0,4.5,1.6,2.3,53.7,57.7,37.7,0.0
99.5,98.4,0.0,1.0,9.7,7.2,8.7,94.8,89.5,94.3,3.0
66.4,63.6,3.0,2.0,6.6,5.6,4.7,71.8,54.1,54.2,1.0
97.1,88.1,2.0,1.0,9.8,8.9,10.0,88.4,92.8,90.7,3.0
85.0,75.9,4.0,2.0,7.5,5.4,8.1,79.2,76.5,83.3,2.0
51.0,60.7,3.0,2.0,4.9,6.4,5.5,79.6,55.1,50.1,1.0
99.4,99.5,2.0,1.0,9.3,9.9,9.3,94.4,98.0,95.2,3.0
83.0,80.2,4.0,1.0,8.0,6.5,7.1,85.6,78.2,82.8,2.0
65.0,62.3,5.0,3.0,6.6,5.5,4.9,76.3,67.0,66.8,1.0
89.6,99.2,0.0,0.0,9.4,9.2,9.5,89.9,87.7,96.4,3.0
61.2,58.6,5.0,2.0,4.2,4.2,3.7,71.5,58.8,54.1,0.0
77.3,78.8,1.0,1.0,7.8,8.2,6.5,84.0,77.3,83.6,3.0
83.5,71.3,4.0,2.0,8.0,8.5,8.3,90.2,70.1,87.9,2.0
45.4,25.8,6.0,4.0,2.6,0.5,3.4,65.6,33.9,42.3,0.0
50.1,59.4,4.0,3.0,5.2,6.4,6.1,78.4,57.0,62.0,0.0
63.9,51.0,3.0,3.0,5.3,6.0,3.8,79.1,69.8,65.3,0.0
37.1,39.1,9.0,5.0,3.9,4.6,2.2,53.1,30.6,42.7,0.0
61.8,51.5,5.0,2.0,4.3,4.6,5.2,73.3,63.2,62.1,0.0
30.5,20.5,6.0,5.0,3.7,0.3,3.1,65.9,53.6,45.6,0.0
52.8,54.9,4.0,2.0,6.9,4.4,4.7,76.0,60.7,50.7,1.0
80.1,84.6,3.0,1.0,6.9,7.5,6.6,90.4,88.0,87.9,3.0
60.8,62.8,5.0,2.0,6.3,6.0,3.9,67.8,68.8,66.1,1.0
